model,n_params,test_mse_mean,test_mse_std
poly2d_d3,10,3.1775280704580893,0.0
poly2d_d4,15,158.00299746251073,0.0
poly2d_d6,28,618.6543868096064,0.0
fourier2d_K3,13,1.316520529867891,0.0
fourier2d_K5,21,2.043580090451257,0.0
nn2d_8x8,105,0.31507926865856645,0.013021671782890489
nn2d_16x16,337,0.3220114645937515,0.008718662483327795
QCL_4q4L,18,1.8680570666344696,0.4216018411068336
QCL_6q6L,38,1.7171687817061052,0.22615221555208534
QCL_6q8L,50,4.018453291184852,0.7286128940778089
