model,n_params,test_mse_mean,test_mse_std
poly2d_d3,10,0.31642540146820763,0.0
poly2d_d4,15,0.3092545652216339,0.0
poly2d_d6,28,0.2599686510314064,0.0
fourier2d_K3,13,0.3032474635189584,0.0
fourier2d_K5,21,0.2987465847809327,0.0
nn2d_8x8,105,0.2899877762755332,0.031966078856730536
nn2d_16x16,337,0.27182240092218507,0.025999730695947406
QCL_4q4L,18,0.33737280302596195,0.0012299362707842237
QCL_6q6L,38,0.2933371784796099,0.0022307295023366253
QCL_6q8L,50,0.29699442220352856,0.0036627645479219927
