model,n_params,test_mse_mean,test_mse_std
poly2d_d3,10,0.3376773661113828,0.0
poly2d_d4,15,0.34223723709144477,0.0
poly2d_d6,28,0.328643095536488,0.0
fourier2d_K3,13,0.3429526610583694,0.0
fourier2d_K5,21,0.34778011986158613,0.0
nn2d_8x8,105,0.3265501954804418,0.02731420872029112
nn2d_16x16,337,0.31438483876084783,0.020700247970827503
QCL_4q4L,18,0.36778166176762034,0.009990823247031709
QCL_6q6L,38,0.3855983114658868,0.049062641356323676
QCL_6q8L,50,0.8550287970317457,0.33142943763156446
